marca,producto,version,peso_g,precio,precio_100g,%_pistacho,%_masa_kadayif,fecha_deteccion_mercado
LINDT,TABLETA LINDT DUBAI STYLE CHOCOALTE ,Estilo_Dubai,150,9.99,6.66,11.7,2.6,2024-12-01
LINDT,TABLETA DE CHOCOLATE EXCELLENCE EXTRA CREMOSO LECHE,Clasico,100,4.49,4.49,0.0,0.0,
HACENDADO,CHOCOLATE CON LECHE FUSSION HACENDADO RELLENO DE CREMA DE PISTACHO Y MASA FILO TOSTADA,Estilo_Dubai,135,2.25,1.67,15.0,7.6,2026-02-01
HACENDADO,CHOCOLATE CON LECHE FUSSION HACENDADO RELLENO DE GALLETA CARAMELIZADA,Clasico,110,1.35,1.23,0.0,0.0,
TEMPTATION,CHOCOLATE CON PISTACHO ESTILO DUBAI DIA TEMPTATION ,Estilo_Dubai,150,4.49,2.99,2.25,2.25,2025-11-01
TEMPTATION,CHOCOLATE CON LECHE Y ALMENDRAS ENTERAS DIA TEMPTATION,Clasico,200,2.19,1.1,0.0,0.0,
EL BEATO,CHOCOLATE DUBAI DE PISTACHO Y KATAIFI,Estilo_Dubai,400,22.25,5.56,20.7,6.8,2025-03-01
EL BEATO,CHOCOLATE ARTESANO CON LECHE,Clasico,125,4.0,3.2,0.0,0.0,
CACAO SAMPAKA,TABLETA CHOCOLATE ESTILO DUBAI,Estilo_Dubai,60,9.95,16.58,27.9,9.7,2025-10-01
CACAO SAMPAKA,CHOCOLATE CON LECHE 40%,Clasico,75,6.95,9.27,0.0,0.0,
